Id,Buyer User Id,Date and Time,Location,Location Id,Universe Id,Universe,Asset Id,Asset Name,Asset Type,Hold Status,Revenue,Price
PtqH3muzupMmS6JezNBtrw,2700188326,2023-08-03T15:44:31.743Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Null,Null,Null,Held,1.0,300.0
AIwEEGn59cLSd3cspo6Xhw,4858365822,2023-08-03T15:44:28.263Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Null,Null,Null,Held,2.0,450.0
ul/IV1gY6H3iy/RuliskNg,4695369760,2023-08-03T15:43:47.530Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
bbP2EPepTsGnwVxIMl3xbA,1090719820,2023-08-03T15:43:46.840Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
MdVV+PZtGRLpd0gWIcN29g,3015676679,2023-08-03T15:43:44.793Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
LW/zPbYHw+4xC7nuU6s6aw,4882790632,2023-08-03T15:43:12.377Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
7AE+409o8qf7idRrg5FSow,2029198398,2023-08-03T15:42:38.057Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
s289oVNxCwu40RXE07laTw,1827774788,2023-08-03T15:42:35.673Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
xv15wtyqZBUbaqTO5HVj7g,4724021165,2023-08-03T15:42:27.597Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
rG8g1XTr8Fykgn8ZHkgtaw,544289232,2023-08-03T15:41:15.427Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],23779790,💰 1K 💰,Developer Product,Held,1.0,10.0
DJIKOgykkd4NHW1KpVwljQ,3351989204,2023-08-03T15:41:07.663Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
Q3bBNCe5n8801sIY7zSA1Q,1667527125,2023-08-03T15:41:02.513Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
YorfU4oSzf7EYEIm8ueO1g,1819918585,2023-08-03T15:40:54.470Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
g0MDdZGwBSkJUhgEsc3HpQ,97930019,2023-08-03T15:40:50.973Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
iFdRyd3BNvVnnNXexaUnXg,4872967538,2023-08-03T15:40:15.483Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
0POmixsmKmuUc/2aBPC9tA,558336935,2023-08-03T15:40:01.797Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
D0Wx0s57YI4tS+ZAfS9OYw,1959260344,2023-08-03T15:39:57.653Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
tAkC9F8h4Tf8wqDvAZJu5A,4024439836,2023-08-03T15:39:55.227Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],23780146,💰 100K 💰,Developer Product,Held,2.0,125.0
7Dejm4ILBxBBAJAhNn3/lw,2262206531,2023-08-03T15:39:49.010Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Null,Null,Null,Held,1.0,275.0
Cu9Sr1STRu34gVxWQHHc1Q,662046001,2023-08-03T15:39:36.620Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],23780146,💰 100K 💰,Developer Product,Held,2.0,125.0
CzryfucoIpUCaKY+jUAQqQ,226458411,2023-08-03T15:39:21.343Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Null,Null,Null,Held,2.0,225.0
d5Ws3pY6llLjxnImG5P8BA,4447404801,2023-08-03T15:38:35.770Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
SUQgFYmyVO0srpeGUEGtFQ,1598106630,2023-08-03T15:38:22.033Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
/Mo69I4EMd7tvb7mdSx+TA,481394174,2023-08-03T15:37:33.310Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
tCj9hPM7zOnkzY4KswacCw,2789095298,2023-08-03T15:37:17.123Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
9IBIBuA7PAzk5W3SnlOuog,2024919633,2023-08-03T15:36:39.167Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],23780019,💰 10K 💰,Developer Product,Held,1.0,45.0
ksCBmUmELJRd0pnkpzvqsQ,4588603011,2023-08-03T15:35:56.957Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
IR2YAivUrEI60R/A0fWyjg,3088006370,2023-08-03T15:35:48.173Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
ZpnrkDtVL9Is9ocWKuXrRw,1782520219,2023-08-03T15:35:42.093Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
VnULg79xdu0N1Os5fEXdUA,492578749,2023-08-03T15:34:43.163Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
Sx2BFxOR6TBfcbIRGTc6cQ,2751669059,2023-08-03T15:34:42.177Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
d/VrDH/w8E4/9mBEACalEA,1015330146,2023-08-03T15:34:24.467Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
r8aVz9FzfnfMb3cfIf8ZrQ,3253136170,2023-08-03T15:34:02.060Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
rzWDgQOS34cgoDmaq9+DLg,4285847089,2023-08-03T15:32:54.593Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],26743547,Elite Armor (1 LIFE),Developer Product,Held,2.0,35.0
jiMga3RM9WQ8dpUFTcYORQ,4235438467,2023-08-03T15:32:13.210Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
z1bxxPdk5gSZyX/nC3t8eA,4325842058,2023-08-03T15:32:04.673Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
BMKprYLSZBLEFh7f0z3ktw,1301385436,2023-08-03T15:30:51.320Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],23779790,💰 1K 💰,Developer Product,Held,1.0,10.0
0PCVKO0VjH1dl73QYQVEzQ,1301385436,2023-08-03T15:30:34.250Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],23780019,💰 10K 💰,Developer Product,Held,1.0,45.0
NYjCLRGBSuU5vvH+OTqDlg,2484390226,2023-08-03T15:29:59.017Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
HhvfhNjs8S3j8Ar4ty9ZiQ,3868485352,2023-08-03T15:29:55.217Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
O/PfZe3IMJAzyPeLFOFKXA,4519876832,2023-08-03T15:29:28.253Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
TccvUqvSpBgZ18RBDEDj0g,226458411,2023-08-03T15:29:15.313Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Null,Null,Null,Held,2.0,1400.0
upQvYtXb/zFj03lmhCJVhg,2876831057,2023-08-03T15:28:45.900Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
L8PL3+KS35chmYW+k/HECA,565995917,2023-08-03T15:28:41.187Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
ktOkJwamYOK06CIFYU5Y8w,4828685252,2023-08-03T15:28:24.323Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
E51iCmoVaM3VOqbW7jesPQ,3653068611,2023-08-03T15:27:50.373Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
